stdev,mse,kpPred,tauPred,thetaPred,kpTrue,tauTrue,thetaTrue
4.0,6.098933650812561,4.298245906829834,9.257757186889648,2.6424245834350586,4.454545454545455,9.363636363636363,2.090909090909091
4.0,34.23617362058705,6.4602766036987305,2.7783615589141846,7.229598522186279,6.181818181818182,3.5454545454545454,7.0
4.0,24.23161416382113,4.552942752838135,9.969907760620117,2.896144390106201,5.181818181818182,9.090909090909092,2.1818181818181817
4.0,135.015814433608,8.580827713012695,3.3592588901519775,7.206371307373047,7.909090909090909,3.5454545454545454,8.0
4.0,2.6137218545834013,4.00307559967041,7.919846057891846,4.044190406799316,3.909090909090909,7.2727272727272725,4.181818181818182
4.0,3.5823924291566565,3.5238497257232666,9.554346084594727,9.964789390563965,3.3636363636363638,9.727272727272727,9.727272727272727
4.0,9.220797678657247,4.398135185241699,9.14643669128418,9.765456199645996,5.090909090909091,10.0,9.545454545454545
4.0,13.884090315947784,2.6843371391296387,4.369083404541016,4.835493087768555,3.3636363636363638,5.909090909090909,4.818181818181818
4.0,7.69064611343345,6.887478828430176,8.118693351745605,5.592085838317871,7.0,7.818181818181818,5.636363636363637
4.0,13.015944727908954,6.626260757446289,7.994513988494873,2.52670955657959,6.909090909090909,7.363636363636364,2.4545454545454546
4.0,43.181697576972866,6.438778877258301,10.350442886352539,3.5908596515655518,5.363636363636363,9.454545454545455,4.545454545454545
4.0,28.251217173803177,8.891230583190918,6.967959403991699,9.20872974395752,9.818181818181818,7.454545454545455,9.363636363636363
4.0,17.08840100626913,2.918147325515747,5.53348970413208,7.507504940032959,3.0,6.454545454545455,8.545454545454547
4.0,2.788995058320381,1.130934238433838,5.2987141609191895,8.337263107299805,1.3636363636363638,5.454545454545455,8.272727272727273
4.0,71.81058937233898,8.148480415344238,2.565350294113159,4.288094520568848,8.636363636363637,2.4545454545454546,4.0
4.0,72.74326149901974,7.879805564880371,3.531768321990967,4.118419170379639,7.7272727272727275,3.4545454545454546,3.6363636363636362
4.0,15.579989253872,6.5303778648376465,9.69678020477295,6.860095977783203,5.7272727272727275,8.454545454545455,7.090909090909091
4.0,49.836345894687575,6.234131813049316,9.205560684204102,7.296429634094238,7.818181818181818,9.90909090909091,7.181818181818182
4.0,2.996953106962064,4.269979953765869,9.544468879699707,5.74025297164917,4.363636363636363,9.0,5.818181818181818
4.0,208.75725685989474,7.979628086090088,2.550834894180298,7.982122421264648,8.272727272727273,2.090909090909091,7.454545454545455
4.0,13.927771075821918,4.427799224853516,7.494051933288574,8.409154891967773,4.454545454545455,6.636363636363637,9.272727272727273
4.0,125.87328226404792,8.503278732299805,0.9785470962524414,8.410361289978027,9.454545454545455,1.7272727272727273,8.181818181818182
4.0,79.59811679331122,8.531407356262207,6.50517463684082,2.3936452865600586,8.363636363636363,8.545454545454547,1.7272727272727273
4.0,122.6299575794661,6.748751163482666,2.3127803802490234,5.368710041046143,7.181818181818182,2.090909090909091,4.818181818181818
4.0,7.608615708342821,7.7919206619262695,9.473220825195312,5.842687129974365,7.909090909090909,9.818181818181818,5.545454545454546
4.0,15.78379872502961,8.727730751037598,7.507723331451416,9.12759780883789,8.818181818181818,7.545454545454546,9.0
4.0,110.18626974923436,4.801901340484619,2.9899489879608154,10.85228443145752,4.272727272727273,3.090909090909091,9.363636363636363
4.0,26.60082094060593,6.2333455085754395,5.8053975105285645,1.8900699615478516,5.636363636363637,6.363636363636364,1.7272727272727273
4.0,3.09234730016008,3.323127508163452,5.380631923675537,2.6268177032470703,3.5454545454545454,6.0,2.5454545454545454
4.0,95.37004687121036,7.385743618011475,3.0199475288391113,4.345020771026611,7.363636363636364,3.5454545454545454,4.818181818181818
4.0,27.95027857471871,4.949158668518066,5.46320915222168,6.836184501647949,5.0,6.909090909090909,7.181818181818182
4.0,9.307748327446673,6.667097568511963,9.002242088317871,3.870889186859131,7.181818181818182,9.818181818181818,3.4545454545454546
4.0,66.36061681648953,4.376028060913086,3.7864274978637695,7.077245712280273,4.545454545454545,2.7272727272727275,6.545454545454546
4.0,0.3744165768792571,1.1070473194122314,10.679033279418945,4.109638690948486,1.0,9.181818181818182,3.8181818181818183
4.0,18.739015468023126,3.354188919067383,5.678866386413574,6.019075393676758,2.8181818181818183,5.454545454545455,5.818181818181818
4.0,61.92784578871422,5.611032009124756,4.051742076873779,8.338501930236816,6.0,4.272727272727273,7.454545454545455
4.0,44.48550744007882,8.524823188781738,6.340547561645508,9.367938995361328,8.272727272727273,6.818181818181818,9.727272727272727
4.0,2.694525797246011,3.161295175552368,9.145003318786621,3.2524499893188477,3.1818181818181817,8.454545454545455,3.1818181818181817
4.0,12.600134092435585,7.592861652374268,7.763483047485352,3.681828022003174,8.0,8.0,3.3636363636363638
4.0,21.40370118002603,9.50678825378418,4.390131950378418,8.477367401123047,9.545454545454545,4.7272727272727275,8.272727272727273
4.0,57.71948795484197,7.703742027282715,7.134222984313965,8.459097862243652,7.818181818181818,6.181818181818182,8.09090909090909
4.0,17.828742321761876,3.536628246307373,1.8715099096298218,2.848558187484741,3.7272727272727275,1.8181818181818183,2.4545454545454546
4.0,13.355811615763615,8.286723136901855,9.095723152160645,3.7381186485290527,8.636363636363637,9.454545454545455,4.0
4.0,71.96367953456898,6.652265548706055,5.7665486335754395,8.365448951721191,5.818181818181818,6.454545454545455,9.090909090909092
4.0,14.48154741669506,7.271279335021973,6.496720314025879,5.222985744476318,7.0,5.818181818181818,5.181818181818182
4.0,66.15915017569644,7.0690107345581055,6.621134281158447,1.1433641910552979,6.090909090909091,7.454545454545455,1.6363636363636362
4.0,23.03158251236048,1.2093706130981445,7.898434638977051,8.30126667022705,2.1818181818181817,9.545454545454545,7.818181818181818
4.0,50.19160224738951,4.875024795532227,1.740424633026123,8.636903762817383,5.090909090909091,2.090909090909091,9.090909090909092
